,Well Name,Epoch,TopDepth md,X,Y
0,Gingin 1,165_Mesozoic_MidJurassic,3314.0,388203.3333503671,6553951.900935393
1,Gingin 3,165_Mesozoic_MidJurassic,3208.5,388631.9348372279,6552764.783960998
2,Gingin 2,165_Mesozoic_MidJurassic,3399.0,389852.48797268554,6550736.168089469
3,Bootine 1,165_Mesozoic_MidJurassic,3066.0,388223.3521101895,6550244.473768612
4,Red Gully 1,165_Mesozoic_MidJurassic,3254.5,388161.62674878223,6549801.719046157
5,Gingin West 1,165_Mesozoic_MidJurassic,3080.0,388193.52771352464,6549785.343176786
6,Red Gully North 1,165_Mesozoic_MidJurassic,3311.5,388164.9890308578,6553786.006677826
7,Badaminna 1,165_Mesozoic_MidJurassic,966.83,373354.41982002417,6531871.250859307
8,Eclipse 1,165_Mesozoic_MidJurassic,2934.0,393388.19601559604,6522581.512453697
9,Bullsbrook 1,165_Mesozoic_MidJurassic,2809.0,390060.4523800558,6516987.710648445
10,Mullering 1,165_Mesozoic_MidJurassic,284.0,339697.97416024574,6603616.389414128
11,Cataby 1,165_Mesozoic_MidJurassic,680.0,340386.7435751648,6603967.776118824
12,Walyering 1,165_Mesozoic_MidJurassic,2685.0,353183.3449221835,6601022.681580262
13,Walyering 2,165_Mesozoic_MidJurassic,2647.0,353989.15085243667,6602419.41187172
14,Walyering 3,165_Mesozoic_MidJurassic,2765.0,355978.0029460561,6598966.514397993
15,Walyering 4,165_Mesozoic_MidJurassic,2638.0,353550.99044510437,6600943.337186918
16,Cadda 1,165_Mesozoic_MidJurassic,4.0,328390.6727702316,6642601.339848297
